"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","32326","---","35972","2422"
"99","22375","---","24662","3355"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","28654","---","37497","4145"
"99","17556","---","18129","248"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","6978","---","10156","1903"
"99","4734","---","4946","120"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","5885","---","10612","2372"
"99","4050","---","4725","815"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","7490","---","9620","1687"
"99","4053","---","4951","811"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","5845","---","10142","2572"
"99","4469","---","4803","217"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","6372","---","10067","1987"
"99","4231","---","4980","721"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","6973","---","11132","1979"
"99","4230","---","4586","351"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","6264","---","9425","1722"
"99","5090","---","5491","907"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","5858","---","11222","2770"
"99","4854","---","5254","382"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","6366","---","9674","1322"
"99","4467","---","4776","233"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","3697","---","5392","1295"
"99","3696","---","4359","663"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","3913","---","6014","1699"
"99","3550","---","4385","1154"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","19468","---","22851","2049"
"99","11593","---","12271","1324"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","18009","---","23596","2260"
"99","8380","---","8761","257"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","14954","---","22622","2679"
"99","11007","---","11843","1067"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","16904","---","21718","2740"
"99","9170","---","9832","591"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","13984","---","21639","3557"
"99","10252","---","10697","846"
